,Grade 7,,,,,,,,,,Grade 8,,,,,,,,,,Grade 9,,,,,,,,,,Grade 10,,,,,,,,,,,,
Student Number,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,English,Filipino,Math,ESP,ICF,TVE,AP,Mapeh,Tec. Drawing,Science,,,
student 1,84,85,89,89,85,83,89,84,89,89,84,85,82,81,86,84,89,82,81,82,82,86,84,85,85,95,95,85,84,89,91,88,83,86,84,85,86,82,85,84,,,
student 2,82,84,86,83,84,95,84,85,92,98,95,98,96,99,98,85,89,89,92,98,81,86,82,84,96,85,85,84,92,82,82,92,89,83,89,82,89,80,89,89,,,
student 3,90,98,95,86,92,85,86,84,82,94,95,98,92,95,98,95,85,95,87,95,92,92,85,95,95,93,94,98,95,87,88,85,95,85,89,85,95,96,96,95,,,
student 4,88,99,89,82,81,86,84,85,85,92,94,92,89,92,85,89,89,84,85,89,85,95,89,85,88,85,89,88,85,89,87,89,94,86,85,95,85,95,85,89,,,
student 5,90,92,95,93,95,95,84,95,95,88,89,88,92,98,95,98,85,98,93,98,87,94,96,85,85,95,84,85,95,96,96,94,96,82,93,84,96,82,84,85,,,
student 6,98,98,92,86,88,84,82,86,85,97,99,98,99,84,89,75,82,85,89,85,95,81,81,97,94,92,84,84,82,99,89,85,85,95,84,95,98,85,84,89,,,
student 7,97,88,98,85,86,84,85,86,82,92,93,95,99,86,86,81,84,86,85,95,94,96,98,82,95,89,86,84,85,96,97,96,98,95,92,93,95,92,84,98,,,
student 8,92,98,97,75,86,82,86,92,87,93,98,92,91,84,85,82,84,84,93,96,97,98,90,89,85,86,85,84,96,90,89,86,85,82,84,82,85,86,84,92,,,
student 9,98,85,95,84,85,85,91,89,82,84,98,94,95,85,96,84,87,88,91,95,98,93,97,95,85,94,95,95,92,98,92,94,92,91,92,97,85,95,91,98,,,
student 10,87,81,81,83,85,85,81,82,83,94,95,96,92,85,94,98,86,85,92,95,98,92,95,82,84,86,85,91,86,98,93,98,92,96,92,85,84,96,85,96,,,
student 11,82,82,85,87,88,86,86,88,83,92,84,76,80,85,80,87,80,87,83,81,90,84,87,90,83,91,87,97,85,84,83,82,79,78,80,77,79,75,78,79,,,
student 12,91,85,86,87,85,88,88,95,88,91,96,91,89,91,95,92,94,93,89,92,91,91,93,93,89,93,95,94,94,93,88,81,78,83,81,77,84,76,77,75,,,
student 13,85,85,86,88,83,81,84,86,83,85,81,82,81,76,78,82,81,84,85,81,78,78,77,79,78,76,79,83,80,91,87,83,82,87,82,78,80,79,82,75,,,
student 14,86,82,85,90,81,85,82,87,83,83,88,85,85,86,81,81,86,90,87,83,84,86,84,88,88,78,88,92,86,81,94,94,94,92,94,95,96,91,96,92,,,
student 15,84,86,86,92,81,90,88,89,83,83,92,92,86,89,90,93,93,92,88,90,84,86,91,90,89,89,95,93,89,90,84,83,81,78,81,77,80,75,81,77,,,
student 16,83,85,85,84,82,84,84,89,83,88,90,87,84,86,86,79,84,89,84,83,84,86,82,88,87,78,82,91,80,85,85,83,89,83,82,81,80,78,87,81,,,
student 17,84,87,84,87,89,85,89,91,86,88,84,83,81,87,86,87,79,92,89,84,90,80,83,82,81,77,80,90,85,81,90,82,92,91,82,83,80,83,90,88,,,
student 18,89,90,90,87,85,85,83,91,86,94,93,87,84,92,87,92,96,93,92,89,92,88,84,89,88,91,98,95,89,88,90,84,90,91,84,82,87,81,84,83,,,
student 19,88,88,88,90,83,88,88,91,83,91,92,86,85,90,92,94,91,93,91,92,93,91,92,89,88,93,95,95,92,88,86,86,90,88,86,78,83,80,87,81,,,
student 20,89,87,85,88,84,89,85,93,86,87,84,84,81,87,82,85,80,91,89,83,85,84,80,86,83,84,83,91,85,79,91,90,97,91,91,79,81,78,84,86,,,
student 21,91,87,88,84,88,86,90,89,86,85,86,88,84,86,87,86,79,89,88,88,79,85,77,80,82,83,83,90,85,84,91,92,93,93,90,90,90,89,92,90,,,
student 22,86,86,85,86,85,83,84,87,85,85,84,83,79,83,77,83,79,83,79,82,78,79,84,87,86,81,84,87,81,86,86,83,90,88,82,84,82,83,87,86,,,
student 23,88,86,86,88,82,84,84,87,82,84,84,80,80,82,77,80,78,80,78,80,76,78,80,83,83,77,80,86,78,82,83,86,87,79,84,76,78,76,86,77,,,
student 24,86,88,84,84,83,84,84,85,83,86,91,88,86,88,86,77,85,90,88,883,84,84,80,85,75,80,82,89,82,81,90,82,92,90,88,83,87,85,92,86,,,
student 25,84,84,82,86,92,97,86,92,91,85,84,84,82,80,75,79,79,81,79,80,75,84,79,87,84,75,80,84,85,82,90,9,95,91,92,92,95,92,89,87,,,
student 26,85,87,84,89,82,85,86,87,84,84,88,85,83,88,90,92,88,93,86,86,88,88,85,88,86,87,90,91,88,85,83,83,89,83,82,77,80,77,82,77,,,
student 27,85,86,82,84,85,86,86,91,82,82,95,86,88,92,90,88,90,91,91,89,87,91,90,94,89,92,94,94,92,93,91,90,91,91,85,86,86,86,89,86,,,
